20/01/2019,2:09 pm,Messages and calls are end-to-end encrypted. No one outside of this chat,not even WhatsApp,can read or listen to them. Tap to learn more.
20/01/2019,2:09 pm,You created group "Kya mile? "
20/01/2019,2:09 pm,RED,Kya hum tum mile?
20/01/2019,2:09 pm,RED,Get together kre?
20/01/2019,2:09 pm,Anurag,Aa mil
20/01/2019,2:09 pm,Anurag,Tu pehle recharge krwa
20/01/2019,2:10 pm,RED,Call krke dekh
20/01/2019,2:10 pm,RED,Maja ayega
20/01/2019,3:50 pm,RED,Kya bola?
20/01/2019,3:56 pm,Anurag,Nhi uthaya
26/01/2019,9:57 am,You changed the subject from "Kya mile? " to "Aur chu! Kesa h?"
26/01/2019,9:57 am,RED,Sun be
26/01/2019,9:57 am,RED,Gand fati ke bhadvo
26/01/2019,9:57 am,Gotiya,annu
26/01/2019,9:58 am,RED,@919650713357
26/01/2019,9:58 am,RED,@919650713357 gandua
26/01/2019,9:58 am,RED,<Media omitted>
26/01/2019,9:58 am,RED,<Media omitted>
26/01/2019,9:58 am,RED,<Media omitted>
26/01/2019,9:58 am,RED,<Media omitted>
26/01/2019,10:05 am,Gotiya,kidr chalna h
26/01/2019,10:11 am,Gotiya,bolo
26/01/2019,10:11 am,RED,Dc
26/01/2019,10:11 am,RED,4 baje
26/01/2019,10:12 am,Gotiya,thik b annu??
26/01/2019,10:12 am,RED,He will read
26/01/2019,10:12 am,Anurag,H
26/01/2019,10:12 am,Anurag,Bol
26/01/2019,10:12 am,You changed the subject from "Aur chu! Kesa h?" to "DC - 4pm -"
26/01/2019,10:12 am,Anurag,Ok
26/01/2019,10:12 am,Gotiya,koi dikkt toh ni na
26/01/2019,10:13 am,RED,Dikkat ni h
26/01/2019,10:13 am,Anurag,Nhi
26/01/2019,10:13 am,RED,Par ab dikkkat kr denge hum
26/01/2019,10:13 am,RED,Lauvde
26/01/2019,10:13 am,Gotiya,😂😂😂
26/01/2019,10:13 am,Gotiya,marale
26/01/2019,2:09 pm,RED,Kb aaoge
26/01/2019,2:09 pm,Gotiya,bhai annu kb aywg
26/01/2019,2:09 pm,Gotiya,aayega*
26/01/2019,2:18 pm,Anurag,Kb ?
26/01/2019,2:18 pm,Anurag,Beer piyenge
26/01/2019,2:18 pm,Anurag,Bhai kab Ana h?
26/01/2019,2:18 pm,Gotiya,pi lio
26/01/2019,2:18 pm,Gotiya,tum dono btao
26/01/2019,2:41 pm,Gotiya,kb aaoge saalo
26/01/2019,2:45 pm,Anurag,4 bje Tere ghar
26/01/2019,2:45 pm,Anurag,Ayenge
26/01/2019,2:45 pm,Anurag,Then vahi se chalenge
26/01/2019,2:48 pm,Gotiya,thik h
26/01/2019,3:54 pm,Gotiya,bhai kidr ho
26/01/2019,3:57 pm,RED,Pata nai lol
26/01/2019,3:57 pm,Gotiya,bhai aa rheho???.
26/01/2019,3:57 pm,RED,Annu ko call kr
26/01/2019,3:57 pm,Gotiya,chutiye tu apna toh bta
26/01/2019,3:58 pm,RED,M tho ghr pe hun
26/01/2019,3:58 pm,RED,Taiyar
26/01/2019,3:58 pm,RED,Lodu
26/01/2019,3:59 pm,Gotiya,phn ni uthara
26/01/2019,3:59 pm,RED,Lol
26/01/2019,3:59 pm,RED,Same
26/01/2019,4:19 pm,Gotiya left
26/01/2019,7:32 pm,You added Gotiya
26/01/2019,7:33 pm,You changed the subject from "DC - 4pm -" to "Part khatam photo de!"
26/01/2019,7:33 pm,You changed the subject from "Part khatam photo de!" to "Party khatam photo de!"
26/01/2019,7:35 pm,Gotiya,<Media omitted>
26/01/2019,7:35 pm,Gotiya,<Media omitted>
26/01/2019,7:35 pm,Gotiya,<Media omitted>
26/01/2019,7:35 pm,Gotiya,<Media omitted>
26/01/2019,7:35 pm,Gotiya,<Media omitted>
26/01/2019,7:35 pm,Gotiya,<Media omitted>
26/01/2019,7:35 pm,Gotiya,<Media omitted>
26/01/2019,7:35 pm,Gotiya,<Media omitted>
26/01/2019,7:35 pm,Gotiya,<Media omitted>
26/01/2019,7:35 pm,Gotiya,<Media omitted>
26/01/2019,7:35 pm,Gotiya,<Media omitted>
26/01/2019,7:35 pm,Gotiya,<Media omitted>
26/01/2019,7:35 pm,Gotiya,<Media omitted>
26/01/2019,7:35 pm,Gotiya,<Media omitted>
26/01/2019,7:35 pm,Gotiya,<Media omitted>
26/01/2019,7:35 pm,Gotiya,<Media omitted>
26/01/2019,7:35 pm,Gotiya,<Media omitted>
26/01/2019,7:35 pm,Gotiya,<Media omitted>
26/01/2019,7:35 pm,Gotiya,<Media omitted>
26/01/2019,7:36 pm,Gotiya,<Media omitted>
26/01/2019,7:39 pm,Gotiya,<Media omitted>
26/01/2019,7:46 pm,RED,Backfired
27/01/2019,8:57 am,Gotiya,lol
27/01/2019,1:25 pm,Anurag,🤣
28/11/2019,11:25 am,Gotiya changed the subject from "Party khatam photo de!" to "Tushar in Delhi"
28/11/2019,11:25 am,Gotiya,free kb ho bhaio
28/11/2019,11:25 am,RED,Jab bolo
28/11/2019,11:25 am,Gotiya,jaipur gya h woh monday aayega
28/11/2019,11:27 am,Gotiya,tuesday chalte h
28/11/2019,11:29 am,RED,Yup
28/11/2019,11:30 am,Anurag,Sunday tk chhuti h meri. Monday se office
28/11/2019,11:31 am,Gotiya,woh jaipur h bhai
28/11/2019,11:31 am,Gotiya,monday aayega
28/11/2019,11:31 am,Gotiya,hum 3no milte h bol sat
28/11/2019,11:31 am,Gotiya,agr tu yhi h
28/11/2019,11:33 am,RED,Bta tho dia kr
28/11/2019,11:33 am,Gotiya,chutiya h saala
28/11/2019,11:33 am,RED,Kal mil lete sab tushar ne bola tha kl milne ko
28/11/2019,11:33 am,Gotiya,alg hi h yeh annu
28/11/2019,11:33 am,RED,But kaam tha mera bhot
28/11/2019,11:33 am,RED,Aur tera pta ni tha
28/11/2019,11:33 am,RED,Vrna mil lete
28/11/2019,11:34 am,RED,Harsh teri kya shift chal rhi h?
28/11/2019,11:35 am,Gotiya,bhai 12 to 9
28/11/2019,11:35 am,Gotiya,afternoon
28/11/2019,11:39 am,RED,Ok
28/11/2019,11:45 am,RED,Btw tumhara plan ban rha h shimla ka?
28/11/2019,11:45 am,RED,😂😂😂
28/11/2019,11:45 am,RED,Captakn kha h? Tushar
28/11/2019,11:54 am,Gotiya,sun bhsdk annu or meri baat hui h abi
28/11/2019,11:54 am,Gotiya,sat sham ko tu mei or annu milte h
28/11/2019,11:54 am,Gotiya,thike?
28/11/2019,11:54 am,Anurag,Ok
28/11/2019,12:37 pm,RED,Chal theek
28/11/2019,12:37 pm,RED,<Media omitted>
28/11/2019,12:38 pm,RED,Logo ke 2 tatte hote h mere 3 tatte h
28/11/2019,12:38 pm,Gotiya,🤣🤣🤣
28/11/2019,12:39 pm,Gotiya,logo k ek hi hota h
28/11/2019,12:47 pm,RED,2 tatte hote h bc
28/11/2019,12:48 pm,RED,@919650713357 😱 iska ek he tatta h bc
28/11/2019,12:49 pm,Anurag,🤣
28/11/2019,12:49 pm,Anurag,Tu bhi h
28/11/2019,12:54 pm,RED,<Media omitted>
28/11/2019,2:31 pm,Gotiya,😂😂😂
29/11/2019,7:27 pm,Anurag,<Media omitted>
29/11/2019,7:27 pm,Anurag,Same situation here
29/11/2019,7:28 pm,Gotiya,<Media omitted>
29/11/2019,7:48 pm,RED,Lol
30/11/2019,3:57 pm,Gotiya,bhai kahan ho
30/11/2019,4:20 pm,Anurag,5 bje harsh Tere Ghar pe milte h
30/11/2019,4:20 pm,Gotiya,okk
30/11/2019,4:24 pm,RED,K
30/11/2019,8:20 pm,Gotiya,<Media omitted>
30/11/2019,8:20 pm,Gotiya,<Media omitted>
30/11/2019,8:20 pm,Gotiya,<Media omitted>
30/11/2019,8:20 pm,Gotiya,<Media omitted>
30/11/2019,8:20 pm,Gotiya,<Media omitted>
30/11/2019,8:20 pm,Gotiya,<Media omitted>
30/11/2019,8:20 pm,Gotiya,<Media omitted>
30/11/2019,8:20 pm,Gotiya,<Media omitted>
30/11/2019,8:20 pm,Gotiya,<Media omitted>
30/11/2019,8:20 pm,Gotiya,<Media omitted>
30/11/2019,8:20 pm,Gotiya,<Media omitted>
30/11/2019,8:20 pm,Gotiya,<Media omitted>
30/11/2019,8:20 pm,Gotiya,<Media omitted>
30/11/2019,8:20 pm,Gotiya,<Media omitted>
30/11/2019,9:06 pm,Anurag,👌🏻
01/12/2019,8:42 pm,Gotiya added Tosiba
01/12/2019,8:45 pm,Gotiya,<Media omitted>
01/12/2019,8:46 pm,Gotiya,<Media omitted>
01/12/2019,8:46 pm,Gotiya,<Media omitted>
01/12/2019,8:46 pm,Gotiya,<Media omitted>
01/12/2019,8:46 pm,Gotiya,<Media omitted>
01/12/2019,8:46 pm,Gotiya,<Media omitted>
01/12/2019,8:46 pm,Gotiya,<Media omitted>
01/12/2019,8:46 pm,Gotiya,<Media omitted>
01/12/2019,8:46 pm,Gotiya,<Media omitted>
01/12/2019,8:48 pm,Gotiya,<Media omitted>
01/12/2019,8:48 pm,Gotiya,<Media omitted>
01/12/2019,8:48 pm,Gotiya,<Media omitted>
01/12/2019,8:48 pm,Gotiya,<Media omitted>
01/12/2019,8:48 pm,Gotiya,<Media omitted>
01/12/2019,8:48 pm,Gotiya,<Media omitted>
01/12/2019,8:49 pm,Gotiya,<Media omitted>
01/12/2019,8:50 pm,Tosiba,<Media omitted>
01/12/2019,8:50 pm,Tosiba,<Media omitted>
01/12/2019,8:50 pm,Tosiba,<Media omitted>
01/12/2019,8:50 pm,Tosiba,<Media omitted>
01/12/2019,8:50 pm,Tosiba,<Media omitted>
01/12/2019,8:50 pm,Tosiba,<Media omitted>
01/12/2019,8:50 pm,Tosiba,<Media omitted>
01/12/2019,8:50 pm,Tosiba,<Media omitted>
01/12/2019,8:50 pm,Tosiba,<Media omitted>
01/12/2019,8:50 pm,Tosiba,<Media omitted>
01/12/2019,8:50 pm,Tosiba,<Media omitted>
01/12/2019,8:50 pm,Tosiba,<Media omitted>
01/12/2019,8:50 pm,Tosiba,<Media omitted>
01/12/2019,8:50 pm,Tosiba,<Media omitted>
01/12/2019,8:50 pm,Tosiba,<Media omitted>
01/12/2019,8:52 pm,Gotiya,<Media omitted>
01/12/2019,8:52 pm,Gotiya,<Media omitted>
01/12/2019,9:53 pm,Anurag,😛😉👌🏻
01/12/2019,9:53 pm,Anurag,👌🏻
01/12/2019,9:53 pm,Anurag,Robin new shirt
01/12/2019,9:54 pm,Gotiya,😂😂😂
01/12/2019,10:16 pm,RED,Acchi h?
01/12/2019,10:17 pm,You changed the subject from "Tushar in Delhi" to "ABCD"
01/12/2019,10:29 pm,Gotiya changed this group's icon
02/12/2019,8:46 pm,RED,https://youtu.be/Tj7fhySn7-8
03/12/2019,12:39 am,Tosiba,https://drive.google.com/folderview?id=18j57dyyBjDUFY5krh1WeI_XzkseYR2dq
03/12/2019,12:39 am,Tosiba,family man
03/12/2019,12:53 am,Gotiya,thanks bhai
03/12/2019,9:56 am,RED,<Media omitted>
03/12/2019,10:00 am,Gotiya,😂😂😂
03/12/2019,12:19 pm,Tosiba,😂😂😂😂
03/12/2019,5:32 pm,Gotiya,<Media omitted>
03/12/2019,6:50 pm,RED,Nah bad joke
14/12/2019,7:08 pm,Gotiya,<Media omitted>
14/12/2019,7:14 pm,RED,@919650713357 u too
14/12/2019,7:14 pm,RED,XD
14/12/2019,7:14 pm,Gotiya,lmao
14/12/2019,7:20 pm,Tosiba,😂😂😂😂
16/12/2019,9:56 pm,RED,https://www.youtube.com/watch?v=bVzvZxW5n2Q
16/12/2019,9:56 pm,RED,@tu
16/12/2019,9:56 pm,RED,@917503478845 @919891523326
16/12/2019,9:56 pm,RED,bhai
16/12/2019,9:56 pm,RED,dekho
